City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2020-10-30 22:56:39,-21.36,55.77,68.0,68,20,20.8
1,East London,ZA,2020-10-30 22:56:40,-33.02,27.91,62.01,68,100,2.53
2,Mirnyy,RU,2020-10-30 22:56:40,62.54,113.96,-7.6,76,0,8.95
3,New Norfolk,AU,2020-10-30 22:56:40,-42.78,147.06,62.01,53,0,1.99
4,Nouakchott,MR,2020-10-30 22:53:33,18.09,-15.98,77.0,69,0,17.22
5,Yazd,IR,2020-10-30 22:56:40,31.9,54.37,57.2,22,0,4.7
6,Pilar,BR,2020-10-30 22:56:41,-9.6,-35.96,75.2,94,20,8.05
7,Jamestown,US,2020-10-30 22:56:41,42.1,-79.24,36.0,93,90,6.26
8,Rikitea,PF,2020-10-30 22:56:41,-23.12,-134.97,76.21,65,0,6.06
9,Codrington,AU,2020-10-30 22:56:41,-38.27,141.97,55.47,82,47,12.41
10,Castro,BR,2020-10-30 22:56:42,-24.79,-50.01,53.91,93,100,11.1
11,Saint-Augustin,CA,2020-10-30 22:56:42,51.23,-58.65,28.11,85,0,10.45
12,Hermanus,ZA,2020-10-30 22:54:06,-34.42,19.23,45.0,91,0,11.72
13,San Quintin,MX,2020-10-30 22:56:43,30.48,-115.95,72.46,50,100,11.14
14,Qaanaaq,GL,2020-10-30 22:56:43,77.48,-69.36,11.75,85,91,5.14
15,Mar Del Plata,AR,2020-10-30 22:55:35,-38.0,-57.56,57.2,76,0,8.05
16,Kruisfontein,ZA,2020-10-30 22:56:43,-34.0,24.73,48.99,91,0,1.01
17,Severo-Kurilsk,RU,2020-10-30 22:56:43,50.68,156.12,41.68,91,100,33.49
18,Khartoum,SD,2020-10-30 22:56:44,15.55,32.53,87.8,19,0,9.17
19,Longyearbyen,SJ,2020-10-30 22:52:55,78.22,15.64,17.6,72,0,3.36
20,Bonanza,NI,2020-10-30 22:56:44,14.03,-84.59,75.33,95,93,2.17
21,Wexford,IE,2020-10-30 22:56:45,52.33,-6.46,55.99,99,65,8.99
22,La Ronge,CA,2020-10-30 22:56:45,55.1,-105.28,23.0,85,100,16.11
23,Punta Arenas,CL,2020-10-30 22:56:45,-53.15,-70.92,53.6,58,75,34.45
24,Albany,US,2020-10-30 22:56:45,42.6,-73.97,33.01,88,79,3.29
25,Kapaa,US,2020-10-30 22:56:46,22.08,-159.32,84.0,69,75,9.17
26,Tuktoyaktuk,CA,2020-10-30 22:56:46,69.45,-133.04,8.6,84,75,9.17
27,Iqaluit,CA,2020-10-30 22:56:46,63.75,-68.51,8.6,71,75,2.3
28,Puerto Ayora,EC,2020-10-30 22:56:46,-0.74,-90.35,71.01,90,71,4.0
29,Ushuaia,AR,2020-10-30 22:55:08,-54.8,-68.3,50.0,71,75,23.04
30,Upernavik,GL,2020-10-30 22:56:47,72.79,-56.15,20.77,95,94,2.39
31,Butaritari,KI,2020-10-30 22:56:47,3.07,172.79,82.56,77,70,21.45
32,Vitim,RU,2020-10-30 22:56:47,59.45,112.56,18.09,96,100,2.55
33,Seondha,IN,2020-10-30 22:56:48,26.16,78.78,62.6,59,5,1.12
34,Selty,RU,2020-10-30 22:56:48,57.31,52.13,35.2,94,100,6.6
